type	latitude	longitude	color	opacity	width	name	desc	kml_folder
T	-6.796536662	-70.426330047	#ff0000	1.00	2	river11		river11.kml
T	-6.794960012	-70.424758129						
T	-6.793152058	-70.423612830						
T	-6.791024438	-70.423031176						
T	-6.789081980	-70.422850552						
T	-6.787099655	-70.423015915						
T	-6.785362886	-70.423628711						
T	-6.783706123	-70.424739308						
T	-6.782315110	-70.426477531						
T	-6.781282982	-70.428210292						
T	-6.780508035	-70.429982725						
T	-6.779613147	-70.431398117						
T	-6.778693702	-70.432524781						
T	-6.777463471	-70.433719066						
T	-6.775826247	-70.434602295						
T	-6.774108132	-70.435318905						
T	-6.772395692	-70.436119283						
T	-6.770590216	-70.437016281						
T	-6.768679005	-70.437612216						
T	-6.766954413	-70.437884181						
T	-6.765040388	-70.437880647						
T	-6.763734767	-70.436658514						
T	-6.762897008	-70.434799487						
T	-6.762867587	-70.432741144						
T	-6.763077758	-70.430911240						
T	-6.763593430	-70.429151779						
T	-6.764540804	-70.427527019						
T	-6.765772737	-70.426102363						
T	-6.767298365	-70.424965362						
T	-6.768992257	-70.424319247						
T	-6.770682444	-70.423921794						
T	-6.772413573	-70.423682686						
T	-6.774097412	-70.423482360						
T	-6.775779564	-70.422976799						
T	-6.777536960	-70.422345361						
T	-6.779483560	-70.421735484						
T	-6.781096690	-70.420856361						
T	-6.782396490	-70.419754422						
T	-6.783832032	-70.418503142						
T	-6.785490952	-70.417691283						
T	-6.787149294	-70.416831038						
T	-6.788730773	-70.415701020						
T	-6.789978524	-70.414564802						
T	-6.791031217	-70.413079448						
T	-6.791460732	-70.411191526						
T	-6.790922275	-70.409452889						
T	-6.789749392	-70.408201924						
T	-6.788399407	-70.407531490						
