timestamp,open,high,low,close,volume
2024-10-27,67971.24,70288,67532.48,69921.04,22643.5483384
2024-10-28,69869.76,73624.98,69705.76,72714.49,33635.16796196
2024-10-29,72673.56,73060,71246.2,72337.71,18883.14885497
2024-10-30,72345.28,72684.02,69559.33,70207.79,19433.8142535
2024-10-31,70228,71653,68720,69482.07,22509.27389875
2024-11-01,69453.28,70000,69000,69288.2,4997.30616434
2024-11-02,69352,69409,67100.1,68797,13194.72148178
2024-11-03,68697.5,69505,66783.77,67817.1,17520.15020374
2024-11-04,67994.38,70599,67427.53,69367.61,18456.28794992
2024-11-05,71219.8,76509.56,70062.4,75637.45,69084.25787416
2024-11-06,75277.87,76999,74397,75906.29,30624.2764935
2024-11-07,76159.38,77312.18,75608,76552.4,24318.87937555
2024-11-08,76468.79,76952.67,75648,76777.39,7028.70361329
2024-11-09,76961.12,81534.28,76680,80468.04,32378.35435416
2024-11-10,86533,89666,86229.5,88753.78,17899.39271397
